symptom,traduction_fr,keywords,body_parts
abdominal pain,douleur abdominale,ventre;estomac;digestion;crampes,abdomen
acid regurgitation,régurgitation acide,reflux;aigreurs;brûlures;estomac,abdomen;chest
acne,acné,boutons;points noirs;peau;visage,head;back;chest
agitation,agitation,nerveux;excité;stress;bouger,
anaphylaxis,anaphylaxie,choc;allergie;urgence;gonflement,
anemia,anémie,fer;fatigue;pâleur;sang,
anxiety,anxiété,angoisse;stress;peur;panique,
back deformity,déformation du dos,colonne;scoliose;bossu;posture,back
back pain,mal de dos,lombaires;vertèbres;rein;lumbago,back
binge eating,hyperphagie boulimique,manger;compulsion;crise;nourriture,
bleeding,saignement,sang;hémorragie;coupure;plaie,
blisters,cloques,ampoules;brûlure;frottement;peau,
bloating,ballonnements,gonflé;gaz;digestion;ventre,abdomen
blood in urine,sang dans les urines,hématurie;rouge;rein;vessie,pubis
bloody diarrhea,diarrhée sanglante,sang;selles;intestins;dysenterie,Buttocks;abdomen
blurred distant vision,vision de loin floue,myopie;vue;yeux;flou,eyes
blurred vision,vision floue,vue;yeux;trouble;focus,eyes
blurry vision,vision trouble,flou;voir;yeux;détails,eyes
body aches,courbatures,muscles;grippe;douleur;fatigue,
body pain,douleur corporelle,corps;général;souffrance;physique,
bone pain,douleur osseuse,os;squelette;profond;fracture,
breathing difficulty,difficulté respiratoire,souffle;poumons;asthme;air,chest
breathlessness,essoufflement,souffle;courir;effort;coeur,chest
bruises,bleus / ecchymoses,coups;chocs;violet;peau,
burning,sensation de brûlure,feu;chaud;peau;nerf,
burning pain,douleur brûlante,brûlure;feu;vif;nerf,
burning while urinating,brûlure en urinant,cystite;infection;vessie;pipi,pubis
cervical lesions,lésions cervicales,col;utérus;gynéco;papillomavirus,pubis;neck
chest pain,douleur thoracique,poitrine;coeur;infarctus;angine,chest
chest tightness,oppression thoracique,serré;poids;respiration;angoisse,chest
chills,frissons,froid;trembler;fièvre;grippe,
chronic cough,toux chronique,longue durée;fumeur;bronches;gorge,chest
chronic diarrhea,diarrhée chronique,selles;liquide;intestins;maladie,Buttocks;abdomen
circular rash,éruption cutanée circulaire,lyme;tique;cercle;rougeur,
collapse,malaise / effondrement,chute;syncope;terre;faiblesse,
communication difficulty,difficulté de communication,parler;mots;langage;aphasie,bouche
confusion,confusion,perdu;tête;mémoire;désorienté,
cough,toux,gorge;poumons;rhume;secousses,chest
cracked skin,peau gercée,fissures;sec;froid;mains,
cramping,crampes,contraction;muscle;douleur;ventre,
cramps,crampes,muscles;sport;menstruel;douleur,
crusted sores,plaies avec croûtes,cicatrisation;boutons;impétigo;peau,
dark skin growth,excroissance cutanée sombre,grain de beauté;mélanome;tache;peau,
dark spots on face,taches brunes sur le visage,soleil;vieillesse;pigment;masque,head
dehydration,déshydratation,soif;eau;sec;urine,
diarrhea,diarrhée,tourista;gastro;selles;liquide,Buttocks;abdomen
difficulty breathing,difficulté à respirer,dyspnée;étouffement;air;poumons,chest
discharge,écoulement,liquide;infection;pus;secrétion,pubis
discoloration,décoloration,tache;pigment;peau;blanc,
discomfort,inconfort,gêne;malaise;physique;position,
disorganization,désorganisation,désordre;mental;planifier;tête,
disorientation,désorientation,perdu;lieu;temps;confusion,
distortion,distorsion,visuel;forme;déformation;vue,
dizziness,vertiges,tête qui tourne;équilibre;manège;vapeur,head
dry cough,toux sèche,irritation;gorge;sans crachat;quinte,chest
dry mouth,bouche sèche,soif;salive;langue;déshydratation,bouche
dry skin,peau sèche,déshydraté;tiraillement;crème;froid,
ear pain,douleur à l'oreille,otite;tympan;entendre;bruit,ears
excessive fear,peur excessive,phobie;panique;terreur;angoisse,
excessive thirst,soif excessive,boire;eau;diabète;bouche,bouche
extreme fatigue,fatigue extrême,épuisement;las;dormir;burnout,
eye fatigue,fatigue oculaire,écrans;yeux;vision;lire,eyes
eye inflammation,inflammation des yeux,rouge;conjonctivite;gratter;larmes,eyes
eye pain,douleur oculaire,yeux;globe;vision;migraine,eyes
facial features,traits faciaux (marqués),visage;morphologie;génétique;syndrome,head
failure to conceive,difficulté à concevoir,bébé;grossesse;stérile;enfant,pubis
fatigue,fatigue,las;sommeil;énergie;repos,
fear,peur,crainte;danger;émotion;stress,
fear of eating,peur de manger,anorexie;poids;nourriture;phobie,
fever,fièvre,température;chaud;front;thermomètre,
flashes of light,flashs lumineux,yeux;rétine;vision;migraine,eyes
floaters,corps flottants (vision),mouches;taches;yeux;vue,eyes
fractures,fractures,os;cassé;plâtre;trauma,
frequency,fréquence (urinaire),pipi;souvent;vessie;nuit,pubis
frequent infections,infections fréquentes,immunité;malade;virus;bactérie,
frequent urination,miction fréquente,toilettes;pipi;pollakiurie;vessie,pubis
hair loss patches,zones de perte de cheveux,pelade;trous;cheveux;cuir chevelu,head
hallucinations,hallucinations,voir;entendre;imaginaire;délire,
head tilt,inclinaison de la tête,cou;torticolis;position;vision,head;neck
headache,maux de tête,céphalée;crâne;migraine;douleur,head
hearing loss,perte auditive,sourd;oreille;son;bruit,ears
heart issues,problèmes cardiaques,coeur;cardio;rythme;infarctus,chest
heart murmur,souffle au cœur,bruit;valve;coeur;cardio,chest
heart problems,problèmes cardiaques,maladie;coronaire;coeur;santé,chest
heartburn,brûlures d'estomac,reflux;acide;digestion;poitrine,chest;abdomen
heavy legs,jambes lourdes,circulation;veines;chaleur;retour veineux,thighs
heel pain,douleur au talon,pied;marche;épine;tendon,feets
high fever,forte fièvre,40 degrés;chaud;délire;urgence,
high temperature,température élevée,fièvre;chaleur;corps;grippe,
hives,urticaire,plaques;gratter;allergie;boutons,
hoarseness,enrouement,voix;gorge;éteint;cordes vocales,neck
hormonal changes,changements hormonaux,règles;ménopause;humeur;boutons,
hot flashes,bouffées de chaleur,ménopause;sueur;rouge;chaleur,
hydrophobia,hydrophobie,eau;peur;rage;déglutition,
hyperactivity,hyperactivité,bouger;énergie;enfant;concentration,
hyperelastic skin,peau hyperélastique,étirable;collagène;ehlers-danlos;souple,
hypotension,hypotension,tension basse;malaise;faiblesse;chute,
inattention,inattention,concentration;distrait;école;oubli,
indigestion,indigestion,lourd;estomac;repas;nausée,abdomen
infections,infections,virus;bactérie;malade;fièvre,
infertility,infertilité,stérilité;bébé;grossesse;reproduction,pubis
inflammation,inflammation,rouge;chaud;gonflé;douleur,
intellectual disability,déficience intellectuelle,retard;cognitif;apprendre;mental,
intense itching,démangeaisons intenses,gratter;peau;insupportable;gale,
intense pain,douleur intense,aiguë;insupportable;cri;urgence,
irregular heartbeat,rythme cardiaque irrégulier,arythmie;palpitations;coeur;pouls,chest
irregular periods,règles irrégulières,cycle;menstruation;retard;hormones,pubis
irritability,irritabilité,nerveux;colère;humeur;agacé,
itching,démangeaisons,gratter;peau;allergie;piqûre,
jaundice,jaunisse,jaune;foie;yeux;teint,eyes;null
joint laxity,laxité articulaire,souple;articulation;hyperlaxité;mouvement,
joint pain,douleur articulaire,arthrose;arthrite;genou;coude,
kidney pain,douleur rénale,rein;dos;flanc;colique,back;abdomen
kidney stones,calculs rénaux,cailloux;rein;colique néphrétique;urine,back;abdomen
leg numbness,engourdissement des jambes,fourmis;circulation;nerf;sensibilité,thighs
leg pain,douleur aux jambes,mollet;cuisse;marche;crampe,thighs
light sensitivity,sensibilité à la lumière,photophobie;yeux;soleil;ébloui,eyes
loss of appetite,perte d'appétit,faim;manger;anorexie;repas,abdomen
loss of consciousness,perte de connaissance,évanouissement;k-o;syncope;coma,
loss of interest,perte d'intérêt,déprime;ennui;apathie;goût,
loss of motivation,perte de motivation,flemme;déprime;élan;envie,
loss of smell,perte de l'odorat,anosmie;nez;odeur;goût,nez
low blood pressure,tension artérielle basse,hypotension;vertige;fatigue;malaise,
lump,boule / grosseur,kyste;tumeur;nodule;palpation,
memory loss,perte de mémoire,oubli;alzheimer;souvenir;tête,head
menstrual pain,douleurs menstruelles,règles;ventre;crampes;cycle,abdomen;pubis
mental delay,retard mental,développement;cognitif;apprentissage;cerveau,
mood changes,changements d'humeur,cyclothymie;émotion;caractère;instable,
mood swings,sautes d'humeur,bipolaire;joie;tristesse;nerveux,
motor disorders,troubles moteurs,mouvement;marche;geste;coordination,
mucus buildup,accumulation de mucus,glaires;nez;bronches;toux,nez;chest
muscle cramps,crampes musculaires,contraction;sport;nuit;douleur,
muscle pain,douleur musculaire,courbature;effort;myalgie;corps,
muscle spasms,spasmes musculaires,tressautement;nerveux;involontaire;tic,
muscle stiffness,raideur musculaire,tendu;bloqué;mouvement;souplesse,
muscle weakness,faiblesse musculaire,force;mou;fatigue;tenir,
nail pitting,dépressions des ongles,trous;psoriasis;doigts;kératine,fingers;feets
nasal congestion,congestion nasale,nez bouché;rhume;respirer;sinus,nez
nausea,nausée,vomir;coeur;estomac;mal,abdomen
neck stiffness,raideur de la nuque,torticolis;cou;méningite;tête,neck
nervousness,nervosité,stress;angoisse;trembler;agité,
numbness,engourdissement,fourmis;insensible;paralysie;nerf,
obsessions,obsessions,toc;pensée;fixette;mental,
obsessive thoughts,pensées obsédantes,ruminer;boucle;anxiété;mental,
odor,odeur,nez;sentir;parfum;olfactif,armpits;null
pain,douleur,mal;souffrance;aïe;sensibilité,
pain during defecation,douleur à la défécation,constipation;fissure;hémorroïdes;toilettes,Buttocks
pain in testicle,douleur testiculaire,bourses;homme;torsion;aine,pubis
pain on urination,douleur à la miction,brûlure;pipi;infection;urètre,pubis
painful urination,miction douloureuse,vessie;cystite;pipi;mal,pubis
pallor,pâleur,blanc;visage;anémie;malaise,head
palpitations,palpitations,coeur;boum;stress;arythmie,chest
paralysis,paralysie,immobile;bouger;avc;handicap,
pelvic pain,douleur pelvienne,bas-ventre;femme;gynéco;ovaires,pubis;abdomen
persistent cough,toux persistante,chronique;gorge;poumons;irritation,chest
pustular rash,éruption pustuleuse,boutons;pus;blanc;peau,
rash,éruption cutanée,rougeur;plaque;allergie;peau,
rash around the eye,éruption autour des yeux,lunettes;eczéma;visage;allergie,eyes;head
reading difficulty,difficulté de lecture,dyslexie;yeux;mots;apprendre,eyes
rectal bleeding,saignement rectal,anus;sang;hémorroïdes;selles,Buttocks
rectal pain,douleur rectale,anus;assis;fissure;interne,Buttocks
recurrent infections,infections récurrentes,système immunitaire;souvent;fragile;malade,
red face,visage rouge,rosacée;honte;chaud;coup de soleil,head
red patches,plaques rouges,peau;allergie;eczéma;tache,
red skin,peau rouge,érythème;inflammation;brûlure;couleur,
redness,rougeur,peau;inflammé;sang;visage,
reduced urination,miction réduite,oligurie;rein;boire;rétention,pubis
reflux,reflux,acide;estomac;remontée;oesophage,chest;abdomen
repetition,répétition,echo;bégaiement;refaire;encore,
repetitive acts,actes répétitifs,toc;rituel;manie;habitude,
repetitive behavior,comportement répétitif,autisme;boucle;routine;stéréotypie,
respiratory distress,détresse respiratoire,urgence;oxygène;étouffer;bleu,chest
restlessness,agitation / impatience,jambes;bouger;ennui;nerfs,
rigidity,rigidité,raide;dur;muscle;mouvement,
rituals,rituels,toc;habitudes;ordre;vérifier,
sadness,tristesse,pleurer;déprime;chagrin;malheur,
scalp irritation,irritation du cuir chevelu,tête;gratter;pellicules;cheveux,head
seizures,convulsions / crises,épilepsie;tremblement;écume;inconscient,head
severe diarrhea,diarrhée sévère,eau;déshydratation;danger;choléra,Buttocks;abdomen
severe headache,maux de tête sévères,migraine;crâne;insupportable;noir,head
shivering,frissons / tremblements,froid;fièvre;peur;claquer des dents,
shock,état de choc,trauma;accident;blanc;urgence,
short stature,petite taille,nanisme;croissance;grandir;enfant,
shortness of breath,essoufflement,dyspnée;escalier;air;coeur,chest
skin boils,furoncles,bouton;pus;infection;staphylocoque,
skin depigmentation,dépigmentation de la peau,vitiligo;blanc;tache;couleur,
skin hardening,durcissement de la peau,sclérodermie;dur;carton;toucher,
skin mole,grain de beauté,naevus;tache;marron;peau,
skin numbness,engourdissement de la peau,insensible;toucher;sensation;nerf,
skin patches,plaques sur la peau,zone;couleur;texture;dermatologie,
skin rash,éruption cutanée,boutons;rouge;allergie;maladie,
skin thickening,épaississement de la peau,cal;corne;dur;protection,
skin tightening,tiraillement de la peau,sec;lifting;tendue;inconfort,
skin ulcers,ulcères cutanés,plaie;creux;cicatrice;jambe,
sleep disorders,troubles du sommeil,insomnie;nuit;fatigue;réveil,
slow movements,mouvements lents,bradykinésie;ralenti;vieux;parkinson,
sneezing,éternuements,atchoum;nez;allergie;poivre,nez
snoring,ronflements,bruit;nuit;apnée;dormir,nez;bouche
social avoidance,évitement social,timide;seul;peur;gens,
social difficulty,difficultés sociales,relation;amis;parler;groupe,
sore throat,mal de gorge,avaler;angine;picotement;voix,neck
sores,plaies,bobo;coupure;écorchure;peau,
spasms,spasmes,contraction;involontaire;muscle;ventre,
speech disorder,trouble de la parole,bégayer;articuler;mot;langue,bouche
spinal deformity,déformation vertébrale,dos;scoliose;cyphose;colonne,back
stiff neck,torticolis / raideur de la nuque,cou;bloqué;tête;oreiller,neck
stiffness,raideur,articulation;vieux;matin;rouillé,
sweating,transpiration,sueur;chaud;aisselles;moite,
swelling,gonflement,oedème;bosse;enflé;ballon,
swollen glands,ganglions enflés,cou;infection;boulle;immunité,neck;armpits
swollen joints,articulations enflées,gros;genou;doigts;arthrite,
swollen lymph nodes,ganglions lymphatiques enflés,aisselles;aine;cou;infection,neck;armpits
tall stature,grande taille,géant;croissance;haut;mètre,
thick nails,ongles épais,mycose;pieds;couper;dur,fingers;feets
thickening,épaississement,large;gros;durcir;volume,
tingling,picotements / fourmillements,fourmis;main;nerf;circulation,
toe pain,douleur à l'orteil,goutte;pied;ongle;chaussure,feets
trembling,tremblements,froid;peur;mains;secousse,
tremor,tremblement,parkinson;nerveux;agité;mains,hands
tremors,tremblements,involontaire;corps;vibration;stable,
ulcers,ulcères,estomac;brûlure;trou;muqueuse,
urination difficulty,difficulté à uriner,prostate;blocage;pousser;faible,pubis
vaginal discharge,pertes vaginales,règles;blanc;infection;culotte,pubis
visible veins,veines visibles,varices;bleu;peau;jambes,
vision loss,perte de vision,aveugle;noir;cécité;yeux,eyes
vision problems,problèmes de vision,lunettes;voir;flou;ophtalmo,eyes
vomiting,vomissements,vomir;rejet;malade;gastro,abdomen
warts,verrues,main;pied;virus;bouton,
weakness,faiblesse,force;mou;fatigue;épuisé,
weight gain,prise de poids,gros;kilos;manger;grossir,
weight loss,perte de poids,maigrir;régime;maladie;fin,
wheezing,sifflement respiratoire,asthme;bruit;air;bronches,chest
white discharge,pertes blanches,leucorrhée;femme;normal;cycle,pubis
white skin patches,taches blanches sur la peau,vitiligo;soleil;champignon;peau,
wrist pain,douleur au poignet,main;canal carpien;tendinite;articulation,arms
